"line"	"pattern"	"text"
"1382"	"route_decision"	"[""TRACE-008"", ""PASS"", str(route_decision.get(""smoke_route_decision"", """")), ""selector smoke_route_decision""],"
"1392"	"gfas_grib_count"	"[""PRES-002"", ""PASS"" if int(sources.get(""gfas_grib_count"") or 0) > 0 else ""HOLD"", int(sources.get(""gfas_grib_count"") or 0), ""GFAS grib file count""],"
"1403"	"route_decision"	"route_decision: Dict[str, object],"
"1408"	"route_selected"	"decoder_required = str(route_decision.get(""route_selected"", """")) == ""BLOCKED_DECODER_REQUIRED"""
"1408"	"route_decision"	"decoder_required = str(route_decision.get(""route_selected"", """")) == ""BLOCKED_DECODER_REQUIRED"""
"1409"	"v0_gfas_era5_real"	"selected_real = str(route_decision.get(""route_selected"", """")) == ""v0_gfas_era5_real"""
"1409"	"route_selected"	"selected_real = str(route_decision.get(""route_selected"", """")) == ""v0_gfas_era5_real"""
"1409"	"route_decision"	"selected_real = str(route_decision.get(""route_selected"", """")) == ""v0_gfas_era5_real"""
"1412"	"required_decoder"	"[""decoder_required"", 1 if decoder_required else 0, ""BLOCKED"" if decoder_required else ""PASS"", str(route_decision.get(""required_decoder"", """"))],"
"1412"	"route_decision"	"[""decoder_required"", 1 if decoder_required else 0, ""BLOCKED"" if decoder_required else ""PASS"", str(route_decision.get(""required_decoder"", """"))],"
"1413"	"route_decision"	"[""required_inputs"", str(route_decision.get(""required_inputs"", """")), ""PASS"" if decoder_required or selected_real else ""INFO"", """"],"
"1414"	"gfas_grib_count"	"[""gfas_grib_count"", int(sources.get(""gfas_grib_count"") or 0), ""PASS"" if int(sources.get(""gfas_grib_count"") or 0) > 0 else ""HOLD"", """"],"
"1418"	"route_decision"	"str(route_decision.get(""smoke_route_decision"", """")),"
"1420"	"route_decision"	"str(route_decision.get(""reason"", """")),"
"1432"	"gfas_grib_count"	"[""gfas_probe"", ""gfas_grib_count"", int(sources.get(""gfas_grib_count"") or 0), str(sources.get(""gfas_dir"", """"))],"
"1435"	"route_decision"	"""route_decision"","
"1436"	"route_selected"	"""route_selected"","
"1437"	"route_selected"	"str(route_decision.get(""route_selected"", """")),"
"1437"	"route_decision"	"str(route_decision.get(""route_selected"", """")),"
"1438"	"route_decision"	"str(route_decision.get(""reason"", """")),"
"1611"	"edge_summary"	"edge_summary = gfas_dir / ""_grib_edge_summary.csv"""
"1612"	"edge_summary"	"if not edge_summary.exists():"
"1613"	"edge_summary"	"raise FileNotFoundError(f""GFAS edge summary not found: {edge_summary}"")"
"1614"	"edge_summary"	"_hdr, edge_rows, _delim = read_csv_rows(edge_summary)"
"1622"	"edge_summary"	"raise RuntimeError(""No PM2P5FIRE candidate rows found in _grib_edge_summary.csv"")"
"1646"	"message1"	"extracted_msg = qa_dir / f""gfas_pm2p5fire_{year_int}_message1.grib"""
"1675"	"message1"	"methods[year_int] = ""gfas_pm2p5fire_gdal_message1_negative_lon_proxy"""
"1675"	"gfas_pm2p5fire_gdal"	"methods[year_int] = ""gfas_pm2p5fire_gdal_message1_negative_lon_proxy"""
"1713"	"gfas_pm2p5fire_gdal"	"""method"": ""gfas_pm2p5fire_gdal_negative_lon"","
"1878"	"route_decision"	"route_decision: Dict[str, object],"
"1881"	"decoder_payload"	"decoder_payload: Optional[Dict[str, object]] = None,"
"1890"	"route_selected"	"route_selected = str(route_decision.get(""route_selected"", """")).strip()"
"1890"	"route_decision"	"route_selected = str(route_decision.get(""route_selected"", """")).strip()"
"1893"	"route_selected"	"if route_selected == ""NO-GO_SMOKE_ROUTE"":"
"1896"	"route_selected"	"if route_selected == ""v1_moduleA_validated"":"
"1899"	"route_selected"	"elif route_selected in (""v0_parquet_proxy_degraded"", ""BLOCKED_DECODER_REQUIRED""):"
"1903"	"route_selected"	"if route_selected == ""BLOCKED_DECODER_REQUIRED"":"
"1905"	"v0_gfas_era5_real"	"elif route_selected == ""v0_gfas_era5_real"":"
"1905"	"route_selected"	"elif route_selected == ""v0_gfas_era5_real"":"
"1906"	"decoder_payload"	"payload = decoder_payload or {}"
"1908"	"v0_gfas_era5_real"	"report.fail(""v0_gfas_era5_real selected but decoder payload is unavailable."")"
"1908"	"decoder payload"	"report.fail(""v0_gfas_era5_real selected but decoder payload is unavailable."")"
"1914"	"v0_gfas_era5_real"	"report.fail(""v0_gfas_era5_real selected but by_year decoder output is empty."")"
"1916"	"route_selected"	"report.fail(f""Unknown smoke route_selected value: {route_selected}"")"
"1929"	"v0_gfas_era5_real"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment and decoder_payload:"
"1929"	"decoder_payload"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment and decoder_payload:"
"1929"	"route_selected"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment and decoder_payload:"
"1930"	"decoder_payload"	"daily_seed = list(decoder_payload.get(""daily_rows"", []))"
"1936"	"gfas_pm2p5fire_gdal"	"vals_u, meth_u = _fill_smoke_year_series_relaxed(anchors, ""gfas_pm2p5fire_gdal_unit"")"
"1969"	"gfas_pm2p5fire_gdal"	"smoke_method = unit_year_methods.get(uid, {}).get(y, ""gfas_pm2p5fire_gdal_unit_unknown"")"
"1975"	"v0_gfas_era5_real"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment:"
"1975"	"route_selected"	"if route_selected == ""v0_gfas_era5_real"" and global_replicated_assignment:"
"1982"	"missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"1982"	"smoke_missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"1991"	"missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"1991"	"smoke_missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"1996"	"v0_gfas_era5_real"	"# Optional daily proxy table generated when v0_gfas_era5_real decoder probe is available."
"1997"	"v0_gfas_era5_real"	"if route_selected == ""v0_gfas_era5_real"" and decoder_payload:"
"1997"	"decoder_payload"	"if route_selected == ""v0_gfas_era5_real"" and decoder_payload:"
"1997"	"route_selected"	"if route_selected == ""v0_gfas_era5_real"" and decoder_payload:"
"1998"	"decoder_payload"	"daily = list(decoder_payload.get(""daily_rows"", []))"
"2012"	"gfas_pm2p5fire_gdal"	"day_method = ""gfas_pm2p5fire_gdal_unit_negative_lon"""
"2135"	"missing_flag"	"write_csv(out_path, [""unit_id"", ""pop_2015_sum"", ""pop_2020_sum"", ""pop_2025_sum"", ""pop_2030_sum"", ""pop_missing_flag""], rows_out, delim="";"")"
"2281"	"missing_flag"	"write_csv(out_path, [""unit_id"", ""total_burn_ha_2015_2024"", ""years_area_gt_p75"", ""n_events_gt_1000ha"", ""recurrence_class"", ""recurrence_missing_flag""], rows_out, delim="";"")"
"2304"	"missing_flag"	"if has_missing_flag(pop_rows) or has_missing_flag(smoke_rows):"
"2305"	"missing_flag"	"report.fail(""Placeholder detected (missing_flag=1). IECH will not be computed."")"
"2368"	"missing_flag"	"if has_missing_flag(smoke_rows):"
"2369"	"missing_flag"	"report.fail(""Placeholder detected (smoke missing_flag=1). Scenarios not computed."")"
"2387"	"missing_flag"	"if has_missing_flag(pop_rows):"
"2388"	"missing_flag"	"report.fail(""Placeholder detected (pop missing_flag=1). Scenarios not computed."")"
"2476"	"route_selected"	"route_selected = """""
"2477"	"route_status"	"route_status = """""
"2478"	"route_decision"	"route_decision = """""
"2485"	"route_selected"	"route_selected = str(meta.get(""smoke_route_selected"") or meta.get(""smoke_route_mode"") or """").strip()"
"2486"	"route_status"	"route_status = str(meta.get(""smoke_route_status"") or """").strip()"
"2487"	"route_decision"	"route_decision = str(meta.get(""smoke_route_decision"") or """").strip()"
"2517"	"route_selected"	"lines.append(f""- smoke_route_selected: {route_selected or 'UNKNOWN'}"")"
"2518"	"route_status"	"lines.append(f""- smoke_route_status: {route_status or 'UNKNOWN'}"")"
"2519"	"route_decision"	"lines.append(f""- smoke_route_decision: {route_decision or 'UNKNOWN'}"")"
"3031"	"route_decision"	"route_decision = select_smoke_route(sources, decoder_available=False)"
"3032"	"decoder_payload"	"decoder_payload: Dict[str, object] = {""decoder_available"": False}"
"3033"	"route_selected"	"if str(route_decision.get(""route_selected"", """")) == ""BLOCKED_DECODER_REQUIRED"":"
"3033"	"route_decision"	"if str(route_decision.get(""route_selected"", """")) == ""BLOCKED_DECODER_REQUIRED"":"
"3034"	"decoder_payload"	"decoder_payload = decode_gfas_era5_gdal_proxy(Path(args.modulec_datos), qa_dir, report)"
"3035"	"decoder_payload"	"if bool(decoder_payload.get(""decoder_available"")):"
"3036"	"route_decision"	"route_decision = select_smoke_route(sources, decoder_available=True)"
"3037"	"route_decision"	"inputs = apply_route_meta(inputs, sources, route_decision)"
"3040"	"route_selected"	"report.log(f""smoke route selected: {route_decision.get('route_selected')} ({route_decision.get('smoke_route_decision')})"")"
"3040"	"route_decision"	"report.log(f""smoke route selected: {route_decision.get('route_selected')} ({route_decision.get('smoke_route_decision')})"")"
"3041"	"route_decision"	"write_smoke_route_source_trace_audit(qa_dir, inputs, sources, route_decision)"
"3046"	"route_decision"	"route_decision,"
"3047"	"decoder_payload"	"decoder_available=bool(decoder_payload.get(""decoder_available"")),"
"3069"	"route_decision"	"route_decision,"
"3072"	"decoder_payload"	"decoder_payload=decoder_payload,"
"3074"	"route_decision"	"write_smoke_route_audit(qa_dir, smoke_csv, route_decision)"
"3086"	"missing_flag"	"if has_missing_flag(smoke_rows):"
"3087"	"missing_flag"	"report.fail(""smoke_days has missing_flag=1; placeholder detected"")"
"3105"	"missing_flag"	"if has_missing_flag(pop_rows):"
"3106"	"missing_flag"	"report.fail(""pop table has missing_flag=1; placeholder detected"")"
"3109"	"missing_flag"	"if has_missing_flag(rec_rows):"
"3110"	"missing_flag"	"report.fail(""recurrence table has missing_flag=1; placeholder detected"")"
